순위,팀명,경기수,승,무,패,득점,실점,득실차,승점,승률
1,맨체스터 시티 FC,38,28,5,5,93,29,64,89,0.74 
2,맨체스터 유나이티드 FC,38,28,5,5,89,33,56,89,0.74 
3,아스날 FC,38,21,7,10,74,49,25,70,0.55 
4,토트넘 핫스퍼 FC,38,20,9,9,66,41,25,69,0.53 
5,뉴캐슬 유나이티드 FC,38,19,8,11,56,51,5,65,0.50 
6,첼시 FC,38,18,10,10,65,46,19,64,0.47 
7,에버튼 FC,38,15,11,12,50,40,10,56,0.39 
8,리버풀 FC,38,14,10,14,47,40,7,52,0.37 
9,풀럼 FC,38,14,10,14,48,51,-3,52,0.37 
10,웨스트 브로미치 알비온 FC,38,13,8,17,45,52,-7,47,0.34 
11,스완지 시티 AFC,38,12,11,15,44,51,-7,47,0.32 
12,노리치 시티 FC,38,12,11,15,52,66,-14,47,0.32 
13,선덜랜드 AFC,38,11,12,15,45,46,-1,45,0.29 
14,스토크 시티 FC,38,11,12,15,36,53,-17,45,0.29 
15,위건 애슬레틱 FC,38,11,10,17,42,62,-20,43,0.29 
16,아스톤 빌라 FC,38,7,17,14,37,53,-16,38,0.18 
17,퀸즈 파크 레인저스 FC,38,10,7,21,43,66,-23,37,0.26 
18,볼튼 원더러스 FC,38,10,6,22,46,77,-31,36,0.26 
19,블랙번 로버스 FC,38,8,7,23,48,78,-30,31,0.21 
20,울버햄튼 원더러스 FC,38,5,10,23,40,82,-42,25,0.13 
